live_id,date,slug,url_path,title,redirect_map_status,note
3488,2017-02-24,baba-marta-run-2017,/baba-marta-run-2017/,Baba Marta Run 2017,301,
3532,2017-03-15,7-hills-run-2017,/7-hills-run-2017/,7 Hills Run 2017,410,
3626,2017-04-26,pancharevo-night-run-2017,/pancharevo-night-run-2017/,Pancharevo Night Run 2017,410,
3650,2017-05-23,lyulin-trail-run-2017,/lyulin-trail-run-2017/,Lyulin Trail Run 2017,410,
3672,2017-07-17,palakaria-2017,/palakaria-2017/,Palakaria 2017,301,
3690,2017-08-17,simeonovo-run-2017,/simeonovo-run-2017/,Simeonovo Run 2017,410,
3711,2017-09-25,iran-run-2017,/iran-run-2017/,iRan Run 2017,410,
3758,2017-10-12,birthday-run17,/birthday-run17/,Birthday Run&#8217;17,301,
3782,2017-10-30,the-cactus-run-2017,/the-cactus-run-2017/,The Cactus Run&#8217;17,410,
3821,2017-12-04,the-christmas-run-2017,/the-christmas-run-2017/,The Christmas Run 2017,410,
3860,2017-12-28,golyam-sechko-run18,/golyam-sechko-run18/,Golyam Sechko Run 2018,301,
3900,2018-01-21,malak-sechko-run18,/malak-sechko-run18/,Malak Sechko Run&#8217;18,301,
3921,2018-02-25,baba-marta-run18,/baba-marta-run18/,Baba Marta Run 2018,301,
3961,2018-03-27,7-hills-run-2018,/7-hills-run-2018/,7 Hills Run 2018,410,
3989,2018-04-23,pancharevo-night-run-2018-щафета,/pancharevo-night-run-2018-щафета/,Pancharevo Night Run 2018 ЩАФЕТА,410,
4028,2018-05-16,lyulin-trail-run18,/lyulin-trail-run18/,Lyulin Trail Run&#8217;18,301,
4056,2018-07-18,palakaria-2018,/palakaria-2018/,Palakaria 2018,301,
4064,2018-07-18,simeonovo-run-2018,/simeonovo-run-2018/,Simeonovo Run 2018,410,
4076,2018-08-21,iran-run-2018,/iran-run-2018/,iRan Run 2018,410,
4118,2018-10-12,obbverticalrun,/obbverticalrun/,OBB Vertical Run,410,
